month,Forecast,Lower Bound,Upper Bound,Route
2025-02-28,341794.7735191714,233009.9678441608,450579.579194182,77
2025-03-31,347779.4285949889,214545.79575918906,481013.0614307887,77
2025-04-30,349043.16104447766,195198.21347875608,502888.10861019924,77
2025-05-31,357110.5269947961,185106.64661887402,529114.4073707182,77
2025-06-30,346116.10813349456,157695.29761286918,534536.91865412,77
2025-07-31,347979.63094516064,144461.89508382513,551497.3668064962,77
2025-08-31,352858.60962014203,135288.99827012097,570428.2209701631,77
2025-09-30,357728.82770160184,126961.40635301953,588496.2490501842,77
2025-10-31,365419.41896479984,122169.19855637138,608669.6393732283,77
2025-11-30,348046.82993224444,92923.84644854508,603169.8134159438,77
2025-12-31,340537.82322224375,74070.55755064415,607005.0888938433,77
2025-01-31,306772.0108173576,247244.09821144494,366299.92342327023,49
2025-02-28,318319.31444317434,234134.13309613237,402504.4957902163,49
2025-03-31,325239.79081018665,222134.42170822615,428345.15991214715,49
2025-04-30,331227.93601359526,212172.11080177003,450283.7612254205,49
2025-05-31,339059.1943605782,205950.73521509094,472167.6535060655,49
2025-06-30,327028.0290876668,181215.01775019037,472841.0404251432,49
2025-07-31,329791.6639654479,172295.61114341623,487287.7167874796,49
2025-08-31,334074.6054995089,165704.24280542496,502444.96819359285,49
2025-09-30,335444.30926579365,156860.5714480558,514028.0470835315,49
2025-10-31,343502.79725183116,155259.00906169802,531746.5854419643,49
2025-11-30,321693.1302509642,124261.37958408467,519124.8809178437,49
2025-12-31,314351.10744850023,108140.36924457923,520561.84565242124,49
2025-01-31,336329.0,273348.78051629395,399309.21948370605,22
2025-02-28,336329.0,247261.51944490868,425396.4805550913,22
2025-03-31,336329.0,227244.05998238182,445413.9400176182,22
2025-04-30,336329.0,210368.56103258795,462289.43896741205,22
2025-05-31,336329.0,195500.9479965766,477157.0520034234,22
2025-06-30,336329.0,182059.5983764288,490598.4016235712,22
2025-07-31,336329.0,169699.0017298491,502958.9982701509,22
2025-08-31,336329.0,158194.03888981737,514463.96111018263,22
2025-09-30,336329.0,147388.3415488819,525269.658451118,22
2025-10-31,336329.0,137168.0588941751,535489.9411058249,22
2025-11-30,336329.0,127447.24275831642,545210.7572416835,22
2025-12-31,336329.0,118159.11996476364,554498.8800352364,22
2025-01-31,296229.0,249844.71435062142,342613.2856493786,36
2025-02-28,296229.0,230631.71415366107,361826.28584633896,36
2025-03-31,296229.0,215889.06058248834,376568.9394175117,36
2025-04-30,296229.0,203460.42870124284,388997.57129875716,36
2025-05-31,296229.0,192510.5842002215,399947.41579977854,36
2025-06-30,296229.0,182611.16807552218,409846.8319244778,36
2025-07-31,296229.0,173507.71543036212,418950.28456963785,36
2025-08-31,296229.0,165034.42830732214,427423.57169267786,36
2025-09-30,296229.0,157076.14305186423,435381.85694813577,36
2025-10-31,296229.0,149549.00970810137,442908.9902918986,36
2025-11-30,296229.0,142389.72833234476,450068.2716676552,36
2025-12-31,296229.0,135549.12116497668,456908.8788350233,36
